,dates,prices,sentiment
121,2015-01-16,208.097,0.0138654603823143
122,2015-01-17,199.259995,0.0093958022851465
123,2015-01-18,210.339005,0.0118559459955072
124,2015-01-19,214.860992,0.0054912377633275
125,2015-01-20,211.315002,0.0136543984622342
126,2015-01-21,226.897003,0.0088916749656186
127,2015-01-22,233.406006,0.016212314471243
128,2015-01-23,232.878998,0.0136196393762183
129,2015-01-24,247.847,0.011785571884256
130,2015-01-25,253.718002,0.0169277990662438
131,2015-01-26,273.472992,0.0137858327803583
132,2015-01-27,263.475006,0.0038068181818181
133,2015-01-28,233.914993,0.0067190882034632
134,2015-01-29,233.513,0.0090130911626727
135,2015-01-30,226.425003,0.0078121439963545
136,2015-01-31,217.464005,0.0066433791224293
137,2015-02-01,226.972,0.0084061594702717
138,2015-02-02,238.229004,0.0090698713756267
139,2015-02-03,227.268005,0.002941861184587
140,2015-02-04,226.852997,0.012319035839444
141,2015-02-05,217.110992,0.0099827120230707
142,2015-02-06,222.266006,-0.0015319640252795
143,2015-02-07,227.753998,0.0047782356781459
144,2015-02-08,223.412003,0.0016098134767265
145,2015-02-09,220.110001,0.0053464306070105
146,2015-02-10,219.839005,0.025075352044753
147,2015-02-11,219.184998,0.0164105553554034
148,2015-02-12,221.764008,0.0199166707594584
149,2015-02-13,235.427002,0.0084964588412864
150,2015-02-14,257.321014,0.0067000745199108
151,2015-02-15,234.824997,0.0042980290896957
152,2015-02-16,233.843002,0.0134046877116921
153,2015-02-17,243.610001,0.0027870195961798
154,2015-02-18,236.326004,0.0066257028795549
155,2015-02-19,240.283005,0.0058899102489866
156,2015-02-20,243.779007,0.0047927843023536
157,2015-02-21,244.533997,0.001472196188691
158,2015-02-22,235.977005,0.0036954206602768
159,2015-02-23,238.891998,0.0022471610515088
160,2015-02-24,238.735001,0.0091595747020275
161,2015-02-25,237.470001,0.0059806940371456
162,2015-02-26,236.425995,0.0011204004329004
163,2015-02-27,253.828003,0.0029154019325137
164,2015-02-28,254.263,-0.0075833586703151
165,2015-03-01,260.201996,0.0064135623991393
166,2015-03-02,275.670013,0.01302237358525
167,2015-03-03,281.701996,0.0084045174758953
168,2015-03-04,273.09201,0.012945371685606
169,2015-03-05,276.178009,0.0077408051809965
170,2015-03-06,272.722992,0.0080941759168188
171,2015-03-07,276.260986,0.0271003461848532
172,2015-03-08,274.354004,0.0207133933892632
173,2015-03-09,289.606995,0.0193645536078271
174,2015-03-10,291.76001,0.0089037922077922
175,2015-03-11,296.378998,0.0079513596072037
176,2015-03-12,294.354004,0.0151091282930905
177,2015-03-13,285.337006,0.0178442425732248
178,2015-03-14,281.88501,0.0035038306796781
179,2015-03-15,286.393005,-0.003922279770494
180,2015-03-16,290.592987,0.0006673094582185
181,2015-03-17,285.505005,0.0045873205741626
182,2015-03-18,256.299011,0.0067534400123685
183,2015-03-19,260.928009,0.0157918306936433
184,2015-03-20,261.748993,0.0065493377167905
185,2015-03-21,260.024994,0.0053046502763483
186,2015-03-22,267.959991,0.0025215668930358
187,2015-03-23,266.73999,0.0150464301199595
188,2015-03-24,245.595001,-0.0008192173182502
189,2015-03-25,246.197006,0.0254293557181215
190,2015-03-26,248.531998,0.0286046713553876
191,2015-03-27,247.029007,0.0232548330099778
192,2015-03-28,252.798004,0.0211842255385176
193,2015-03-29,242.712997,0.0233837010557361
194,2015-03-30,247.526001,0.0249767536884883
195,2015-03-31,244.223999,0.0253359897678079
196,2015-04-01,247.272003,0.0221393856598774
197,2015-04-02,253.005005,0.0242968176575442
198,2015-04-03,254.322006,0.0266840737471805
199,2015-04-04,253.697006,0.0257995079845317
200,2015-04-05,260.597992,0.0250883648515227
201,2015-04-06,255.492004,0.0217095284448636
202,2015-04-07,253.179993,0.0226908940894089
203,2015-04-08,245.022003,0.0024834750901541
204,2015-04-09,243.675995,-0.0046504344757619
205,2015-04-10,236.072006,0.0036839497121755
206,2015-04-11,236.552002,0.0062810959007462
207,2015-04-12,236.153,0.0074091328272666
208,2015-04-13,224.587006,0.0097589847870116
209,2015-04-14,219.158997,0.0125876766968642
210,2015-04-15,223.832993,0.0220173564252511
211,2015-04-16,228.572998,0.0139753184978212
212,2015-04-17,222.882004,0.0237391774891774
213,2015-04-18,223.356003,0.0220424952651515
214,2015-04-19,222.600006,0.0236825431638459
215,2015-04-20,224.626007,0.0193005538476552
216,2015-04-21,235.268997,0.0219795880025639
217,2015-04-22,234.175995,0.0180023946360153
218,2015-04-23,236.462006,0.0173097965027098
219,2015-04-24,231.268005,0.0216673351158645
220,2015-04-25,226.389999,0.0210824150596877
221,2015-04-26,219.429993,0.0165421733256128
222,2015-04-27,229.285995,0.0095530653455631
223,2015-04-28,225.854996,0.0127214389888186
224,2015-04-29,225.807999,0.0078332263585793
225,2015-04-30,236.145004,0.0153667278162793
226,2015-05-01,232.078995,0.0193718986986237
227,2015-05-02,234.929993,0.0129689647216955
228,2015-05-03,240.358002,0.0212389473809226
229,2015-05-04,239.018005,0.0366265878481787
230,2015-05-05,236.121002,0.0221604629651939
231,2015-05-06,229.781998,0.0164506863251941
232,2015-05-07,237.334,0.0219595046854082
233,2015-05-08,243.863007,0.0201720785756111
234,2015-05-09,241.832001,0.0227345544166246
